instance,env_seed,agent_seed,cost,time,tw,method,arrival,category,fleet
RC1_10_1,36,1,27164,742.51,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,36,1,18873,749.62,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,22,1,33634,769.82,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,22,1,31194,828.52,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,22,1,30162,745.26,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,22,1,23782,840.57,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,22,1,29805,745.54,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,22,1,22000,749.16,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,23,1,32544,797.98,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,23,1,29363,825.56,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,23,1,28630,891.59,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,23,1,21206,805.85,TW4,icd-double-threshold,uni,R,1.0
